Year	iso3	Total population 	Population aged 15-24 years 	Population aged 65 years or older 	Population aged 14 years or younger 	Population aged 25-64 years 	Total debt service (% of GNI)	GDP deflator (base year varies by country)	GDP (current US$)	GDP (current LCU)	GDP at market prices (constant 2010 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2011 international $)	GDP per capita (current US$)	GDP per capita (current LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2011 international $)	GNI (current LCU)	GNI per capita, Atlas method (current US$)	GNI per capita (current LCU)	GNI per capita, PPP (current international $)	DEC alternative conversion factor (LCU per US$)	PPP conversion factor, GDP (LCU per international $)	Mortality rate, infant (per 1,000 live births)	Population growth (annual %)	General government total expenditure (current LCU)
2003	FSM	106.816	24.051	4.2	42.208	36.357		98.96119	244991000.0	244991000.0	301648209.7	1.8258599999999998	247562700.0	297743296.7	354646025.3	2293.5796100000002	2293.5796100000002	2787.44099	3320.15827	249232600.0	2380.0	2333.2890199999997	2840.0	1.0	0.82283	39.6	-0.15622	164000000.0
2003	GAB	1318.0929999999996	259.705	75.914	525.2769999999998	457.19699999999995	6.47105	100.63683	6497305662.0	3780000000000.0	13001060310.0	2.24733	3750000000000.0	19146335796.0	22805456794.0	4929.3226399999985	2864923.795	14525.7852	17301.85715	3360000000000.0	3870.0	2550474.815	12930.0	581.2003	197.23022	52.6	2.21703	802440000000.0
2003	GBR	59548.420999999995	7577.534000000002	9486.83	10955.935	31528.12200000001		84.96803	2030000000000.0	1240000000000.0	2260000000000.0	3.46624	1460000000000.0	1780000000000.0	2110000000000.0	34007.88876	20829.83186	31181.32492	35419.49755	1260000000000.0	32000.0	21176.09907	31720.0	0.6125	0.6966899999999999	5.3	0.46563999999999994	460374000000.0
2003	GEO	4575.9929999999995	733.768	639.863	908.205	2294.157	4.59129	151.05993999999995	3991374549.0	8564092800.0	7803806728.0	11.0581	5669334200.0	14882108795.0	17726278947.0	928.01082	1991.18642	3460.15085	4121.4319799999985	8593172200.0	910.0	1997.9475	3470.0	2.14565	0.5754600000000001	25.5	-1.3015	1416000000.0
2003	GHA	20305.396	4132.182	660.5930000000002	8266.551	7246.07	6.72513	42.08447	7632406553.0	6615770000.0	20986543461.0	5.2	15720216100.0	41066824046.0	48915243703.0	375.8807	325.81338999999997	2022.4586600000002	2408.97758	6472772000.0	320.0	318.77103	1980.0	0.8668	0.1611	59.6	2.58018	1975000000.0
2003	GIN	9281.572	1772.5739999999994	308.409	4103.08	3097.509	3.25068	100.0	3446442219.0	6840000000000.0	4038504267.0	1.2486	6840000000000.0	9230235939.0	10994257551.0	371.32096	737046.4831	994.4690300000001	1184.5253699999996	6350000000000.0	320.0	684554.9076	920.0	1984.931	741.14574	91.7	1.81877	1395299000000.0
2003	GMB	1350.345	274.459	34.906	622.826	418.154	4.41634	85.58258000000002	487038821.6	13895461100.0	714823372.1	6.87	16236319300.0	1765405089.0	2102797627.0	360.67732	10290.3044	1307.37337	1557.22991	13247311300.0	420.0	9810.3161	1250.0	28.5305	7.87098	59.3	3.21101	2315000000.0
2003	GNB	1401.7160000000001	282.356	45.195	604.245	469.92	1.69861	95.84665	476388249.3	277000000000.0	671830294.4	0.5685100000000001	289000000000.0	1444762892.0	1720876416.0	339.86075	197527.1738	1030.71009	1227.69264	270000000000.0	300.0	192963.4819	1010.0	581.20031	191.64183	97.1	2.1160200000000002	51759000000.0
2003	GNQ	586.7719999999998	97.016	20.469	246.75599999999997	222.53099999999998		47.51364	2484745935.0	1440000000000.0	7493483547.0	13.95525	3040000000000.0	12380575098.0	14746668684.0	4234.6020899999985	2461152.003	19701.16837	25131.85476	537000000000.0	1390.0	915429.5616	7330.0	581.2003	116.64523	97.1	3.31066	254804000000.0
2003	GRC	11029.587	1474.576	1982.751	1637.545	5934.715		82.28814	202000000000.0	179000000000.0	288000000000.0	5.79453	217000000000.0	261000000000.0	307000000000.0	18477.57841	16371.134469999999	23806.53402	28119.40736	178000000000.0	15700.0	16324.439409999999	23700.0	0.8859999999999999	0.68588	5.5	0.23864000000000002	83355000000.0
